,0
0,"[4.23025341e-01 3.81588818e-03 8.40029095e-01 8.49229763e-03
 1.25203420e+00 1.30526991e-02 1.65801771e+00 1.84736219e-02
 2.05897937e+00 2.47782675e-02 2.45291971e+00 3.19202327e-02
 2.83986193e+00 3.88997869e-02 3.22080578e+00 4.57401315e-02
 3.59272884e+00 5.33713925e-02 3.95665405e+00 6.08170409e-02
 4.31155849e+00 6.90536057e-02 4.65646562e+00 7.70581546e-02
 4.99137544e+00 8.48306876e-02 5.31528822e+00 9.23480032e-02
 5.62720423e+00 9.95868996e-02 5.92810000e+00 1.07570309e-01
 6.21499954e+00 1.15228897e-01 6.48887938e+00 1.23585594e-01
 6.74878619e+00 1.30617739e-01 6.99367383e+00 1.38301590e-01
 7.22456525e+00 1.45660619e-01 7.44046070e+00 1.52671625e-01
 7.64133698e+00 1.60334337e-01 7.82724051e+00 1.66649294e-01
 7.99812487e+00 1.73615959e-01 8.15501301e+00 1.80257801e-01
 8.29890464e+00 1.86598023e-01 8.42782351e+00 1.91590490e-01
 8.54372268e+00 1.97281067e-01 9.03431208e+00 2.20669817e-01]"
1,"[ 4.62106600e-01 -1.22072319e-03  9.33249573e-01 -4.27009567e-03
  1.41439074e+00 -7.12947959e-03  1.90454928e+00 -1.08176933e-02
  2.40372520e+00 -1.53347368e-02  2.91191849e+00 -2.06806101e-02
  3.42811034e+00 -2.58744926e-02  3.95131992e+00 -3.19352025e-02
  4.48154724e+00 -3.88627400e-02  5.01775448e+00 -4.46764648e-02
  5.55797999e+00 -5.14140137e-02  6.10320460e+00 -5.80565683e-02
  6.65140967e+00 -6.36423068e-02  7.20161438e+00 -6.91900476e-02
  7.75379973e+00 -7.36999712e-02  8.30696590e+00 -7.71910765e-02
  8.86111290e+00 -7.96633633e-02  9.41622171e+00 -8.01170123e-02
  9.97231134e+00 -7.95518430e-02  1.05283820e+01 -7.79868541e-02
  1.10854144e+01 -7.44032274e-02  1.16444275e+01 -6.97817834e-02
  1.22054023e+01 -6.31227028e-02  1.27693575e+01 -5.54068060e-02
  1.33362931e+01 -4.66340932e-02  1.39081899e+01 -3.57667471e-02
  1.44860666e+01 -2.37855883e-02  1.50699041e+01 -9.69079739e-03
  1.56617403e+01  4.55598439e-03  2.27678233e+01  2.25603335e-01]"
2,"[ 3.61022007e-01  3.32184029e-04  7.01045526e-01  4.12374107e-04
  1.02007056e+00  2.40570232e-04  1.32009696e+00 -1.59228171e-04
  1.60113672e+00 -1.78694910e-03  1.86316586e+00 -2.64273656e-03
  2.10819622e+00 -3.70251912e-03  2.33722773e+00 -4.95429708e-03
  2.55127232e+00 -7.38599872e-03  2.75130592e+00 -8.98576832e-03
  2.93834045e+00 -1.07415342e-02  3.11338785e+00 -1.36412246e-02
  3.27842397e+00 -1.56609841e-02  3.43346081e+00 -1.78007407e-02
  3.57949830e+00 -2.00484948e-02  3.71752436e+00 -2.13923185e-02
  3.84856293e+00 -2.38200683e-02  3.97360193e+00 -2.63198163e-02
  4.09162943e+00 -2.79036343e-02  4.20466929e+00 -3.05473788e-02
  4.31269752e+00 -3.22511939e-02  4.41572610e+00 -3.40150076e-02
  4.51375504e+00 -3.58388198e-02  4.60778427e+00 -3.77106309e-02
  4.69681386e+00 -3.96424405e-02  4.78084382e+00 -4.16342487e-02
  4.86187398e+00 -4.36620560e-02  4.93789251e+00 -4.47499339e-02
  5.00991133e+00 -4.58858107e-02  5.55404015e+00 -5.33569594e-02]"
3,"[ 4.45156562e-01 -2.15304689e-03  8.93343398e-01 -3.40197215e-03
  1.34446514e+00 -6.74525939e-03  1.79761765e+00 -9.15263403e-03
  2.25273737e+00 -1.26230852e-02  2.71185506e+00 -1.62207002e-02
  3.17293996e+00 -2.08813916e-02  3.63702333e+00 -2.56374560e-02
  4.10310570e+00 -3.04571023e-02  4.57215476e+00 -3.63716161e-02
  5.04120381e+00 -4.22861299e-02  5.51128416e+00 -4.72329401e-02
  5.98233220e+00 -5.32110358e-02  6.45138126e+00 -5.91255496e-02
  6.91943082e+00 -6.50082724e-02  7.38448190e+00 -7.07956223e-02
  7.84556680e+00 -7.54563137e-02  8.30062293e+00 -8.09257539e-02
  8.74871439e+00 -8.51731628e-02  9.18781041e+00 -8.91344530e-02
  9.61691147e+00 -9.27778334e-02  1.00340186e+01 -9.60397222e-02
  1.04371328e+01 -9.88565375e-02  1.08242551e+01 -1.01164697e-01
  1.11953855e+01 -1.02964201e-01  1.15495245e+01 -1.04223259e-01
  1.18836736e+01 -1.04846498e-01  1.21978328e+01 -1.04833917e-01
  1.24920021e+01 -1.04185516e-01  1.44255052e+01 -8.76450949e-02]"
4,"[ 4.08064523e-01  5.87756483e-04  8.05084087e-01  1.26988102e-03
  1.19205378e+00  1.94733257e-03  1.56797851e+00  2.71915218e-03
  1.93285828e+00  3.58533983e-03  2.28778722e+00  5.44193786e-03
  2.63057708e+00  6.49686162e-03  2.96232198e+00  7.64615344e-03
  3.28292289e+00  7.89472996e-03  3.59148375e+00  8.33671556e-03
  3.88800457e+00  8.97211026e-03  4.17338139e+00  8.70678966e-03
  4.44562404e+00  7.73883584e-03  4.70483157e+00  7.06333214e-03
  4.95090494e+00  5.68519522e-03  5.18394318e+00  4.59950843e-03
  5.40384725e+00  2.81118841e-03  5.60872603e+00  1.51340059e-03
  5.79947557e+00 -3.87979420e-04  5.97519981e+00 -1.79882723e-03
  6.13589876e+00 -2.71914284e-03  6.28147338e+00 -4.14400960e-03
  6.41202271e+00 -5.07834416e-03  6.52844279e+00 -6.61627090e-03
  6.62993662e+00 -6.66858210e-03  6.71829628e+00 -7.42352652e-03
  6.79471494e+00 -6.98997851e-03  6.85909356e+00 -6.36302140e-03
  6.91242723e+00 -5.64169624e-03  7.29402066e+00  1.60050163e-03]"
5,"[ 8.01931140e-01 -5.33349693e-03  1.59803552e+00 -1.49153923e-02
  2.38635690e+00 -2.98287795e-02  3.16181570e+00 -4.82853607e-02
  3.92253966e+00 -7.33664654e-02  4.66644656e+00 -1.03157833e-01
  5.39162214e+00 -1.39741674e-01  6.09606816e+00 -1.83201965e-01
  6.77974265e+00 -2.32539588e-01  7.44068934e+00 -2.88837635e-01
  8.07890824e+00 -3.52096107e-01  8.69331626e+00 -4.20358755e-01
  9.28499648e+00 -4.95581828e-01  9.85386494e+00 -5.75767089e-01
  1.03989225e+01 -6.60956527e-01  1.09221255e+01 -7.50067047e-01
  1.14224327e+01 -8.42141520e-01  1.18998861e+01 -9.38179063e-01
  1.23563581e+01 -1.03509835e+00  1.27898923e+01 -1.13398247e+00
  1.32034442e+01 -1.23370634e+00  1.35939743e+01 -1.33339681e+00
  1.39654373e+01 -1.43188680e+00  1.43147937e+01 -1.52830318e+00
  1.46440417e+01 -1.62256195e+00  1.49541806e+01 -1.71462113e+00
  1.52452102e+01 -1.80448072e+00  1.55170467e+01 -1.89014249e+00
  1.57716882e+01 -1.97152246e+00  1.78459480e+01 -2.72008929e+00]"
6,"[ 1.37818038e-01 -4.33992471e-04  2.72542973e-01 -1.52579155e-03
  4.04286772e-01 -2.28168547e-03  5.32937467e-01 -3.69538600e-03
  6.59712708e-01 -3.89143798e-03  7.85382268e-01 -4.96923335e-03
  9.09064405e-01 -5.82309194e-03  1.03274654e+00 -6.67695053e-03
  1.15642868e+00 -7.53080913e-03  1.27999885e+00 -9.37837949e-03
  1.40467469e+00 -1.03442065e-02  1.52935054e+00 -1.13100334e-02
  1.65513207e+00 -1.13941170e-02  1.78080163e+00 -1.24719124e-02
  1.90945233e+00 -1.38856129e-02  2.03821499e+00 -1.43056017e-02
  2.16995879e+00 -1.50614956e-02  2.30369001e+00 -1.60413263e-02
  2.43940866e+00 -1.72450938e-02  2.57822041e+00 -1.77910546e-02
  2.72100701e+00 -1.87848890e-02  2.86788042e+00 -1.92328852e-02
  3.01773497e+00 -2.00167866e-02  3.17267004e+00 -2.03668181e-02
  3.33257368e+00 -2.12766915e-02  3.49656412e+00 -2.16407267e-02
  3.66552313e+00 -2.25646039e-02  3.83956267e+00 -2.30546112e-02
  4.01768902e+00 -2.29987803e-02  6.28883849e+00 -1.52469777e-02]"
7,"[ 4.86471387e-01 -1.60914449e-03  9.52947245e-01 -2.13256079e-03
  1.39822497e+00 -3.45538514e-03  1.82151801e+00 -3.48445091e-03
  2.22162376e+00 -4.10489432e-03  2.59765167e+00 -4.21812449e-03
  2.94860716e+00 -3.72012620e-03  3.27558881e+00 -1.72033896e-03
  3.57739402e+00 -1.03898969e-04  3.85611596e+00  1.91573908e-03
  4.11076006e+00  4.44259038e-03  4.34232088e+00  7.37263974e-03
  4.55378216e+00  1.03938416e-02  4.74524791e+00  1.45007716e-02
  4.91949383e+00  1.73922328e-02  5.07882111e+00  2.18439219e-02
  5.22600545e+00  2.55546420e-02  5.36403058e+00  2.82123473e-02
  5.49619227e+00  3.24887196e-02  5.62427164e+00  3.61865769e-02
  5.75334559e+00  3.97804191e-02  5.88639785e+00  4.29582004e-02
  6.02751072e+00  4.62984359e-02  6.17877738e+00  5.05876709e-02
  6.34318155e+00  5.55138597e-02  6.52470154e+00  6.06609417e-02
  6.72632108e+00  6.57168712e-02  6.94824819e+00  7.26707996e-02
  7.19446118e+00  8.11066662e-02  1.16326528e+01  2.74516414e-01]"
8,"[ 8.11369782e-01 -2.01894420e-03  1.60678335e+00 -5.22080809e-03
  2.38531738e+00 -1.06767874e-02  3.14290888e+00 -1.76853488e-02
  3.87856059e+00 -2.63204249e-02  4.59027798e+00 -3.67298804e-02
  5.27898438e+00 -4.78425198e-02  5.94183587e+00 -6.18746669e-02
  6.57968185e+00 -7.67578628e-02  7.19267018e+00 -9.44866340e-02
  7.78065299e+00 -1.13066454e-01  8.34577268e+00 -1.34343984e-01
  8.88695806e+00 -1.57395894e-01  9.40520638e+00 -1.82148251e-01
  9.90266003e+00 -2.10447717e-01  1.03782478e+01 -2.41370960e-01
  1.08340382e+01 -2.75767379e-01  1.12709546e+01 -3.12565779e-01
  1.16891447e+01 -3.53760686e-01  1.20894580e+01 -3.97283641e-01
  1.24731136e+01 -4.46052500e-01  1.28398896e+01 -4.97075476e-01
  1.31909312e+01 -5.52273160e-01  1.35271617e+01 -6.10574359e-01
  1.38476579e+01 -6.73050267e-01  1.41531950e+01 -7.36635162e-01
  1.44439950e+01 -8.04320834e-01  1.47197622e+01 -8.72118230e-01
  1.49807182e+01 -9.43019140e-01  1.70324751e+01 -1.67533182e+00]"
9,"[ 9.96838600e-01 -3.13150966e-03  1.96869525e+00 -7.21279070e-03
  2.91364737e+00 -1.43183810e-02  3.82865914e+00 -2.35629751e-02
  4.71273128e+00 -3.49845637e-02  5.56486451e+00 -4.86211378e-02
  6.38409754e+00 -6.55099663e-02  7.16935512e+00 -8.36904839e-02
  7.92063725e+00 -1.03162691e-01  8.63898119e+00 -1.24887874e-01
  9.32331169e+00 -1.46905468e-01  9.97466600e+00 -1.70176760e-01
  1.05950047e+01 -1.93626490e-01  1.11863264e+01 -2.17178678e-01
  1.17485550e+01 -2.38834766e-01  1.22847644e+01 -2.60479338e-01
  1.27978764e+01 -2.79999865e-01  1.32909269e+01 -2.98281654e-01
  1.37659144e+01 -3.15248721e-01  1.42277973e+01 -3.29711836e-01
  1.46776508e+01 -3.43631562e-01  1.51203955e+01 -3.54819391e-01
  1.55591051e+01 -3.65159904e-01  1.59967773e+01 -3.74539131e-01
  1.64373715e+01 -3.81805829e-01  1.68829240e+01 -3.87883294e-01
  1.73373941e+01 -3.91620286e-01  1.78018569e+01 -3.94977368e-01
  1.82802337e+01 -3.95804023e-01  2.47503877e+01 -2.76911506e-01]"
