,0
0,"[ 1.02100249e+00 -1.97899867e-03  2.05200497e+00 -3.94799734e-03
  3.09300745e+00 -5.90699602e-03  4.14200993e+00 -7.85799469e-03
  5.20001340e+00 -1.07999929e-02  6.26601487e+00 -1.17339920e-02
  7.34001633e+00 -1.26599912e-02  8.42001579e+00 -1.15799914e-02
  9.50601325e+00 -8.49399258e-03  1.05980077e+01 -2.40199527e-03
  1.16949982e+01  7.69500005e-03  1.27959846e+01  2.17959934e-02
  1.38999651e+01  4.18999837e-02  1.50089405e+01  6.70089715e-02
  1.61199079e+01  1.00119955e-01  1.72358674e+01  1.41235935e-01
  1.83538178e+01  1.91353910e-01  1.94747593e+01  2.50474881e-01
  2.06006887e+01  3.21600846e-01  2.17286061e+01  4.04728805e-01
  2.28625116e+01  4.99862758e-01  2.39994040e+01  6.07999704e-01
  2.51422814e+01  7.31142643e-01  2.62891449e+01  8.68289575e-01
  2.74429933e+01  1.02044350e+00  2.86018257e+01  1.18860242e+00
  2.97666421e+01  1.37276732e+00  3.09374425e+01  1.57293822e+00
  3.21142269e+01  1.78911512e+00  4.53429233e+01  5.09934547e+00]"
1,"[3.96868490e-01 6.43441030e-03 8.07853927e-01 1.37125112e-02
 1.23295631e+00 2.18343028e-02 1.67333649e+00 3.27109202e-02
 2.12683699e+00 4.45133394e-02 2.59553317e+00 5.80739613e-02
 3.07643516e+00 7.36391193e-02 3.57153621e+00 9.10445910e-02
 4.07884307e+00 1.10454599e-01 4.59744123e+00 1.32947877e-01
 5.12816309e+00 1.56449068e-01 5.67017625e+00 1.83033530e-01
 6.22231987e+00 2.10790126e-01 6.78575478e+00 2.41629993e-01
 7.35832353e+00 2.73724106e-01 7.94110484e+00 3.07986978e-01
 8.53409871e+00 3.44418607e-01 9.13622642e+00 3.82104483e-01
 9.74848458e+00 4.20962495e-01 1.03689621e+01 4.62153486e-01
 1.09985734e+01 5.04598724e-01 1.16373185e+01 5.48298209e-01
 1.22842009e+01 5.93334050e-01 1.29402170e+01 6.39624138e-01
 1.36043704e+01 6.87250583e-01 1.42756644e+01 7.36295497e-01
 1.49560922e+01 7.86594657e-01 1.56436606e+01 8.38312285e-01
 1.63384517e+01 8.92445005e-01 2.45194410e+01 1.59105386e+00]"
2,"[7.14278317e-01 1.57681124e-03 1.40353916e+00 2.79879183e-03
 2.06583477e+00 5.71686330e-03 2.70211325e+00 8.30589758e-03
 3.31237458e+00 1.05658947e-02 3.89464523e+00 1.35481088e-02
 4.45189840e+00 1.61754923e-02 4.98113509e+00 1.85254256e-02
 5.48535431e+00 2.05205282e-02 5.96255672e+00 2.22123871e-02
 6.41376778e+00 2.45748761e-02 6.83893590e+00 2.56086606e-02
 7.24011200e+00 2.72614883e-02 7.61424550e+00 2.76114050e-02
 7.96438699e+00 2.85803649e-02 8.28948521e+00 2.81948268e-02
 8.59059141e+00 2.84283320e-02 8.86670593e+00 2.93066737e-02
 9.11977652e+00 2.87789306e-02 9.34985476e+00 2.88444372e-02
 9.55694065e+00 2.95031936e-02 9.74198227e+00 2.87300716e-02
 9.90603088e+00 2.84986123e-02 1.00500861e+01 2.87830224e-02
 1.01751219e+01 2.85578411e-02 1.02821637e+01 2.87969421e-02
 1.03721854e+01 2.84748648e-02 1.04482117e+01 2.85138959e-02
 1.05112165e+01 2.78885749e-02 1.06972320e+01 2.60899921e-02]"
3,"[2.38535419e-01 9.24117503e-04 4.70017533e-01 2.34913302e-03
 6.94446343e-01 4.27504656e-03 9.10895309e-01 5.63343719e-03
 1.11829601e+00 7.35084511e-03 1.31664844e+00 9.42727032e-03
 1.50495513e+00 1.17917725e-02 1.68328702e+00 1.34468710e-02
 1.84957819e+00 1.52481657e-02 2.00582362e+00 1.73375373e-02
 2.15102583e+00 1.96440455e-02 2.28525575e+00 2.11702097e-02
 2.40851338e+00 2.19160299e-02 2.52165432e+00 2.39474076e-02
 2.62489140e+00 2.42719011e-02 2.71801180e+00 2.58819521e-02
 2.80115738e+00 2.67825994e-02 2.87632313e+00 2.71157239e-02
 2.94244061e+00 2.78078656e-02 3.00157572e+00 2.80034248e-02
 3.05365753e+00 2.86998820e-02 3.09875698e+00 2.88997567e-02
 3.13879808e+00 2.97424101e-02 3.17492020e+00 2.93038215e-02
 3.20797894e+00 2.96498924e-02 3.23904272e+00 2.98540825e-02
 3.26903808e+00 3.09848128e-02 3.29810689e+00 3.10471223e-02
 3.32418327e+00 3.08966106e-02 3.36322689e+00 3.16683236e-02]"
4,"[2.01201234e-01 2.52259910e-04 4.10394005e-01 8.72390052e-04
 6.28577255e-01 1.90637421e-03 8.55796969e-01 2.35527019e-03
 1.08996329e+00 4.12499480e-03 1.33216714e+00 5.26364747e-03
 1.58136358e+00 6.72418659e-03 1.83555474e+00 8.41464460e-03
 2.09573954e+00 1.03810053e-02 2.35992012e+00 1.25313011e-02
 2.62705154e+00 1.58184904e-02 2.89622682e+00 1.81987051e-02
 3.16640105e+00 2.06249036e-02 3.43757422e+00 2.30970859e-02
 3.70770247e+00 2.65222265e-02 3.97583283e+00 2.98553996e-02
 4.24196530e+00 3.30966052e-02 4.50310307e+00 3.61078918e-02
 4.75924612e+00 3.88892596e-02 5.00934954e+00 4.23936669e-02
 5.25246036e+00 4.55761877e-02 5.48558176e+00 4.82988707e-02
 5.70966669e+00 5.16066419e-02 5.92380819e+00 5.34556331e-02
 6.12487147e+00 5.67047196e-02 6.31399343e+00 5.84030585e-02
 6.49008316e+00 6.05025505e-02 6.65318664e+00 6.20042534e-02
 6.80126000e+00 6.38151417e-02 7.63103849e+00 6.59737759e-02]"
5,"[0.02926935 0.00055216 0.05146963 0.0009368  0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.06560779 0.00127184
 0.06560779 0.00127184 0.06560779 0.00127184 0.24583524 0.00101608]"
6,"[ 0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.         -0.
  0.         -0.          0.         -0.          0.01887973  0.00188565
  0.03417208  0.0015062   0.05358647  0.00122064  0.07831869  0.00178402
  0.10912377  0.00200053  0.14502631  0.00209055  1.08331181  0.04845134]"
7,"[4.06854706e-01 3.77462930e-03 7.94738345e-01 8.99791150e-03
 1.16253076e+00 1.48065699e-02 1.50924023e+00 2.13290451e-02
 1.83473832e+00 2.75736198e-02 2.13816175e+00 3.46604519e-02
 2.41925363e+00 4.06061068e-02 2.67827086e+00 4.73940189e-02
 2.91594827e+00 5.29123134e-02 3.13340600e+00 5.80242670e-02
 3.33064408e+00 6.27298795e-02 3.50865420e+00 6.69007105e-02
 3.66855653e+00 7.14000367e-02 3.81207763e+00 7.39875425e-02
 3.93947437e+00 7.66466625e-02 4.05372190e+00 7.89920749e-02
 4.15482023e+00 8.10237798e-02 4.24376107e+00 8.26133367e-02
 4.32252786e+00 8.35038645e-02 4.39124904e+00 8.46870805e-02
 4.45190803e+00 8.59061034e-02 4.50437641e+00 8.61692162e-02
 4.55089449e+00 8.72029722e-02 4.59021366e+00 8.71523775e-02
 4.62457425e+00 8.77439855e-02 4.65483953e+00 8.78576383e-02
 4.68014622e+00 8.86134939e-02 4.70234932e+00 8.87629538e-02
 4.72157727e+00 8.92977353e-02 4.74378037e+00 8.94471952e-02]"
8,"[5.25657016e-01 3.56395546e-03 1.07326705e+00 8.87855738e-03
 1.64369764e+00 1.70606782e-02 2.23694877e+00 2.81103178e-02
 2.85388797e+00 4.31443488e-02 3.49352305e+00 6.20380962e-02
 4.15560464e+00 8.67759556e-02 4.83827304e+00 1.16116380e-01
 5.54140356e+00 1.51051566e-01 6.26387934e+00 1.92449038e-01
 7.00458350e+00 2.41176318e-01 7.76066412e+00 2.95867184e-01
 8.53286406e+00 3.58630707e-01 9.31746386e+00 4.26983793e-01
 1.01150817e+01 5.04027708e-01 1.09229904e+01 5.87404033e-01
 1.17400729e+01 6.77980292e-01 1.25663295e+01 7.75756484e-01
 1.33997755e+01 8.80483260e-01 1.42394189e+01 9.92035945e-01
 1.50841427e+01 1.11128206e+00 1.59341964e+01 1.23623722e+00
 1.67893305e+01 1.36888580e+00 1.76475607e+01 1.50897847e+00
 1.85100038e+01 1.65564770e+00 1.93756676e+01 1.80876881e+00
 2.02435600e+01 1.96821714e+00 2.11156654e+01 2.13424202e+00
 2.19899993e+01 2.30659411e+00 3.17708495e+01 4.47594500e+00]"
9,"[5.64548147e-01 1.97329567e-02 1.13656997e+00 5.06526967e-02
 1.71728107e+00 9.20364956e-02 2.30546585e+00 1.44607078e-01
 2.90233990e+00 2.07641719e-01 3.50790323e+00 2.81140419e-01
 4.12118667e+00 3.64856743e-01 4.74412854e+00 4.59283561e-01
 5.37479053e+00 5.63928002e-01 6.01560382e+00 6.77344619e-01
 6.66341449e+00 7.99763266e-01 7.32016088e+00 9.31676812e-01
 7.98536669e+00 1.07090050e+00 8.65878548e+00 1.21840350e+00
 9.33944809e+00 1.37393937e+00 1.00266318e+01 1.53629251e+00
 1.07210593e+01 1.70667853e+00 1.14220080e+01 1.88388182e+00
 1.21292313e+01 2.06887154e+00 1.28422530e+01 2.25946295e+00
 1.35603337e+01 2.45856352e+00 1.42842128e+01 2.66326577e+00
 1.50131510e+01 2.87647718e+00 1.57478876e+01 3.09529027e+00
 1.64869605e+01 3.32139692e+00 1.72313390e+01 3.55504358e+00
 1.79815158e+01 3.79429192e+00 1.87369981e+01 4.04108026e+00
 1.94990015e+01 4.29468587e+00 2.82897001e+01 7.51018925e+00]"
